IR,RED,Heart Rate,Respiration Rate,SPO2
217094,229127,,,
217052,229291,,,
217218,229261,,,
217138,229313,,,
217101,229492,,,
217291,229480,,,
217103,229587,,,
217218,229586,,,
217326,229632,,,
217154,229566,,,
217158,229338,,,
217117,229155,,,
216943,228874,,,
216955,228713,,,
216904,228518,,,
216778,228370,,,
216805,228285,,,
216749,228115,,,
216679,228064,,,
216721,228008,,,
216583,227984,,,
216671,228021,,,
216572,228076,,,
216705,228118,,,
216579,228136,,,
216717,228159,,,
216584,228148,,,
216711,228188,,,
216590,228226,,,
216710,228216,,,
216755,228237,,,
216712,228464,,,
216876,228387,,,
216727,228435,,,
216812,228466,,,
216790,228540,,,
216825,228629,,,
216810,228636,,,
216787,228869,,,
216996,228826,,,
216859,228913,,,
216886,228934,,,
216964,229007,,,
216956,229018,,,
216968,229122,,,
216991,229210,,,
216951,229226,,,
217040,229338,,,
217051,229437,,,
217007,229482,,,
217105,229526,,,
217112,229605,,,
217068,229617,,,
217168,229737,,,
217194,229815,,,
217144,229899,,,
217204,229905,,,
217335,229986,,,
217133,230006,,,
217200,229828,,,
217239,229659,,,
217041,229492,,,
217013,229248,,,
217098,229156,,,
216890,229046,,,
216864,229033,,,
216984,228808,,,
216834,228733,,,
216745,228781,,,
216910,228627,,,
216654,228734,,,
216906,228691,,,
216627,228833,,,
216945,228768,,,
216684,228869,,,
216968,228776,,,
216666,228896,,,
216939,228806,,,
216700,228943,,,
216915,228877,,,
216765,228910,,,
216884,228913,,,
216828,229023,,,
216886,229046,,,
216832,229099,,,
216885,229112,,,
216989,229216,,,
216883,229224,,,
216958,229322,,,
216919,229356,,,
216944,229418,,,
217109,229489,,,
216897,229542,,,
216993,229592,,,
217184,229655,,,
216995,229731,,,
217067,229752,,,
217234,229839,,,
217030,229933,,,
217132,229891,,,
217301,229998,,,
217137,230078,,,
217188,230243,,,
217346,230209,,,
217132,230295,,,
217260,230239,,,
217383,230356,,,
217203,230332,,,
217225,230099,,,
217297,229983,,,
217064,229812,,,
217040,229599,,,
217098,229515,,,
216896,229358,,,
216934,229274,,,
216928,229207,,,
216806,229058,,,
216864,229023,,,
216797,229002,,,
216809,229031,,,
216791,229067,,,
216837,229087,,,
216846,229114,,,
216843,229099,,,
216819,229114,,,
216821,229106,,,
216848,229122,,,
216831,229089,,,
216980,229215,,,
216792,229262,,,
216946,229258,,,
216846,229294,,,
216915,229303,,,
216844,229396,,,
216898,229421,,,
216998,229485,,,
216897,229565,,,
217069,229553,,,
216857,229601,,,
216950,229653,,,
217104,229683,,,
216903,229763,,,
216984,229754,,,
217164,229827,,,
216959,229910,,,
217061,229901,,,
217215,229981,,,
217057,230058,,,
217103,230209,,,
217290,230112,,,
217171,230199,,,
217162,230357,,,
217328,230251,,,
217235,230365,,,
217200,230475,,,
217344,230277,,,
217167,230110,,,
217074,230023,,,
217153,229716,,,
216931,229583,,,
216898,229521,,,
216988,229310,,,
216858,229199,,,
216765,229206,,,
216896,228950,,,
216748,228923,,,
216718,228902,,,
216748,228894,,,
216708,228931,,,
216759,228938,,,
216719,228946,,,
216762,228938,,,
216709,228904,,,
216724,228907,,,
216710,228943,,,
216755,228901,,,
216634,229083,,,
216848,229004,,,
216687,229006,,,
216752,229046,,,
216671,229145,,,
216776,229150,,,
216775,229186,,,
216779,229318,,,
216930,229253,,,
216781,229307,,,
216792,229292,,,
216954,229373,,,
216781,229451,,,
216860,229432,,,
217017,229506,,,
216836,229566,,,
216884,229746,,,
217069,229643,,,
216916,229714,,,
216956,229870,,,
217118,229769,,,
216996,229834,,,
216980,229948,,,
217128,229938,,,
217013,229954,,,
217064,230081,,,
217173,230042,,,
217060,229987,,,
216995,229952,,,
217086,229598,,,
216878,229437,,,
216855,229318,,,
216877,229108,,,
216716,228896,,,
216692,228830,,,
216698,228689,,,
216579,228550,,,
216549,228523,,,
216627,228377,,,
216441,228424,,,
216623,228392,,,
216396,228496,,,
216620,228414,,,
216439,228474,,,
216625,228395,,,
216448,228423,,,
216619,228375,,,
216469,228382,,,
216553,228354,,,
216459,228477,,,
216572,228475,,,
216551,228504,,,
216573,228535,,,
216663,228578,,,
216517,228711,,,
216731,228654,,,
216569,228758,,,
216655,228757,,,
216746,228833,,,
216654,228845,,,
216779,228855,,,
216745,228902,,,
216744,229034,,,
216851,229045,,,
216789,229106,,,
216771,229244,,,
216956,229173,,,
216872,229275,,,
216830,229422,,,
216998,229371,,,
216948,229415,,,
216952,229530,,,
217043,229565,,,
216997,229546,,,
217037,229684,,,
217083,229733,,,
217018,229709,,,
217062,229732,,,
217073,229615,,,
216945,229433,,,
216833,229174,,,
216844,229040,,,
216753,228911,,,
216662,228717,,,
216682,228604,,,
216608,228515,,,
216557,228343,,,
216583,228311,,,
216496,228283,,,
216430,228337,,,
216653,228320,,,
216455,228439,,,
216726,228382,,,
216477,228453,,,
216690,228390,,,
216514,228467,,,
216718,228419,,,
216540,228513,,,
216728,228459,,,
216610,228454,,,
216675,228547,,,
216607,228619,,,
216712,228648,,,
216713,228666,,,
216688,228697,,,
216863,228805,,,
216703,228825,,,
216802,228919,,,
216776,228939,,,
216788,229006,,,
216957,229032,,,
216767,229101,,,
216829,229095,,,
216993,229180,,,
216843,229275,,,
216912,229293,,,
217062,229349,,,
216961,229432,,,
216973,229623,,,
217150,229513,,,
217003,229595,,,
217000,229749,,,
217201,229670,,,
217101,229793,,,
217082,229953,,,
217253,229855,,,
217174,229973,,,
217161,230060,,,
217285,229967,,,
217160,229745,,,
217105,229616,,,
217074,229414,,,
216912,229152,,,
216916,229085,,,
216926,228926,,,
216766,228750,,,
216759,228696,,,
216761,228553,,,
216638,228377,,,
216559,228397,,,
216824,228373,,,
216605,228446,,,
216828,228465,,,
216609,228513,,,
216868,228474,,,
216628,228534,,,
216880,228552,,,
216630,228591,,,
216833,228624,,,
216695,228643,,,
216825,228653,,,
216775,228737,,,
216804,228775,,,
216763,228806,,,
216813,228816,,,
216966,228912,,,
216817,229011,,,
216958,228963,,,
216867,229061,,,
216884,229215,,,
217048,229131,,,
216870,229205,,,
216923,229242,,,
217111,229304,,,
216953,229377,,,
217006,229383,,,
217154,229463,,,
216981,229549,,,
217028,229718,,,
217229,229613,,,
217137,229699,,,
217107,229885,,,
217282,229813,,,
217183,229908,,,
217190,229956,,,
217377,230006,,,
217201,230085,,,
217246,230188,,,
217393,229955,,,
217193,229811,,,
217116,229613,,,
217203,229402,,,
217005,229219,,,
216932,229177,,,
217048,228895,,,
216859,228805,,,
216767,228771,,,
216896,228573,,,
216773,228545,,,
216780,228542,,,
216830,228589,,,
216798,228629,,,
216910,228636,,,
216811,228663,,,
216846,228688,,,
216831,228676,,,
216924,228679,,,
216843,228695,,,
216930,228752,,,
216803,228845,,,
216995,228828,,,
216882,228871,,,
216946,228863,,,
216908,229004,,,
216972,229023,,,
217000,229031,,,
216983,229191,,,
217138,229171,,,
216971,229253,,,
217047,229233,,,
217191,229334,,,
217026,229328,,,
217126,229448,,,
