X,Y,Z
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.03,-0.03,1
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.04,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.04,-0.03,0.99
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.05,-0.03,0.98
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.04,-0.03,1
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,0.99
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.05,-0.03,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.04,-0.04,1
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.05,-0.03,1.01
0.04,-0.02,0.99
0.04,-0.02,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.01,0.99
0.03,-0.02,1
0.03,-0.02,1
0.03,-0.02,1
0.03,-0.02,1
0.03,-0.02,1
0.03,-0.02,1
0.03,-0.02,1
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.05,-0.04,1.03
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
0.07,-0.08,1.01
