X,Y,Z
0.01,-0.03,0.5
0.01,-0.03,0.5
0.01,-0.03,0.5
0.01,-0.03,0.5
0.01,-0.03,0.5
0.01,-0.03,0.5
0.01,-0.03,0.5
0.01,-0.04,0.72
0.01,-0.04,0.72
0.01,-0.04,0.72
0.01,-0.04,0.72
0.01,-0.04,0.72
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.03,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
0.04,-0.05,0.98
