RED1,IR1,RED2,IR2,RED3,IR3,RED4,IR4
4448,4760,89528,112224,262143,262143,262143,262143
4428,4775,89469,112233,262143,262143,262143,262143
4434,4781,89521,112588,262143,262143,262143,262143
4455,4761,89569,112579,262143,262143,262143,262143
4439,4754,89611,112815,262143,262143,262143,262143
4438,4796,89688,112589,262143,262143,262143,262143
4450,4786,89538,112460,262143,262143,262143,262143
4424,4783,89574,112442,262143,262143,262143,262143
4435,4771,89499,112261,262143,262143,262143,262143
4446,4781,89458,112180,262143,262143,262143,262143
4452,4761,89429,112208,262143,262143,262143,262143
4432,4766,89470,112186,262143,262143,262143,262143
4431,4773,89463,112222,262143,262143,262143,262143
4439,4777,89442,112855,262143,262143,262143,262143
4452,4778,90093,113683,262143,262143,262143,262143
4438,4776,90016,113272,262143,262143,262143,262143
4444,4776,89885,112974,262143,262143,262143,262143
4440,4780,89769,112762,262143,262143,262143,262143
4448,4763,89700,112320,262143,262143,262143,262143
4425,4767,89556,112306,262143,262143,262143,262143
4442,4755,89446,112184,262143,262143,262143,262143
4446,4765,89462,112007,262143,262143,262143,262143
4461,4769,89382,111916,262143,262143,262143,262143
4441,4766,89367,111930,262143,262143,262143,262143
4446,4759,89399,112059,262143,262143,262143,262143
4449,4764,89418,112072,262143,262143,262143,262143
4447,4787,89444,112087,262143,262143,262143,262143
4449,4772,89372,112168,262143,262143,262143,262143
4450,4785,89498,112622,262143,262143,262143,262143
4441,4780,89541,112569,262143,262143,262143,262143
4452,4785,89640,112701,262143,262143,262143,262143
4442,4772,89621,112306,262143,262143,262143,262143
4453,4783,89402,111915,262143,262143,262143,262143
4440,4780,89361,111838,262143,262143,262143,262143
4446,4782,89346,112022,262143,262143,262143,262143
4447,4777,89340,111907,262143,262143,262143,262143
4423,4780,89332,111870,262143,262143,262143,262143
4450,4772,89280,111792,262143,262143,262143,262143
4434,4797,89284,111724,262143,262143,262143,262143
4452,4776,89255,111629,262143,262143,262143,262143
4438,4795,89235,111579,262143,262143,262143,262143
4441,4776,89213,111502,262143,262143,262143,262143
4436,4776,89192,111457,262143,262143,262143,262143
4440,4781,89183,111464,262143,262143,262143,262143
4425,4784,89194,111499,262143,262143,262143,262143
4442,4764,89220,111736,262143,262143,262143,262143
4440,4779,89346,111978,262143,262143,262143,262143
4444,4764,89332,111703,262143,262143,262143,262143
4438,4757,89260,111703,262143,262143,262143,262143
4438,4774,89233,111625,262143,262143,262143,262143
4430,4775,89293,111885,262143,262143,262143,262143
4420,4787,89292,111579,262143,262143,262143,262143
4440,4783,89243,111565,262143,262143,262143,262143
4446,4763,89261,111686,262143,262143,262143,262143
4442,4777,89286,111782,262143,262143,262143,262143
4441,4768,89361,112083,262143,262143,262143,262143
4442,4768,89421,112076,262143,262143,262143,262143
4432,4784,89356,111945,262143,262143,262143,262143
4437,4771,89325,111805,262143,262143,262143,262143
4447,4771,89298,111950,262143,262143,262143,262143
4456,4772,89358,112123,262143,262143,262143,262143
4446,4752,89383,112126,262143,262143,262143,262143
4438,4772,89361,112199,262143,262143,262143,262143
4440,4760,89441,112276,262143,262143,262143,262143
4453,4772,89450,112307,262143,262143,262143,262143
